Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,82356,126,3306,5,
Western Pacific,Republic of Korea,9583,105,152,8,
Western Pacific,Australia,3966,331,16,2,
Western Pacific,Malaysia,2320,159,27,1,
Western Pacific,Japan,1693,194,52,3,
Western Pacific,Philippines,1075,272,68,14,
Western Pacific,Singapore,802,70,2,0,
Western Pacific,New Zealand,476,60,1,1,
Western Pacific,Viet Nam,179,10,0,0,
Western Pacific,Brunei Darussalam,120,5,1,0,
Western Pacific,Cambodia,102,0,0,0,
Western Pacific,Mongolia,12,0,0,0,
Western Pacific,Lao People's Democratic Republic,6,0,0,0,
Western Pacific,Fiji,5,0,0,0,
Western Pacific,Papua New Guinea,1,0,0,0,
Western Pacific Territories,Guam,56,5,1,0,
Western Pacific Territories,French Polynesia,34,4,0,0,
Western Pacific Territories,New Caledonia,15,0,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),2,2,0,0,TRUE
European,Italy,92472,5974,10023,887,
European,Spain,72248,8189,5690,832,
European,Germany,52547,3965,389,64,
European,France,37145,4603,2311,319,
European,The United Kingdom,17093,2546,1019,260,
European,Switzerland,13152,1048,235,38,
European,Netherlands,9762,1159,639,93,
European,Belgium,9134,1850,353,64,
European,Austria,8291,594,68,0,
European,Turkey,7402,1704,108,16,
European,Portugal,5170,902,100,24,
European,Israel,3865,405,15,3,
European,Norway,3845,264,20,4,
European,Sweden,3447,401,102,10,
European,Czechia,2663,384,11,2,
European,Ireland,2415,294,36,14,
European,Denmark,2201,155,65,13,
European,Luxembourg,1831,226,18,3,
European,Poland,1638,249,18,2,
European,Russian Federation,1534,270,8,4,
European,Romania,1452,160,29,5,
European,Finland,1218,193,9,2,
European,Greece,1061,95,32,4,
European,Iceland,963,73,2,0,
European,Slovenia,691,59,9,0,
European,Serbia,659,131,10,3,
European,Croatia,657,71,5,2,
European,Estonia,640,65,1,0,
European,Armenia,424,52,3,2,
European,Ukraine,418,107,9,1,
European,Hungary,408,65,13,2,
European,Lithuania,394,36,7,2,
European,Bulgaria,331,38,7,4,
European,Andorra,321,32,4,1,
European,Latvia,305,25,0,0,
European,Slovakia,295,0,0,0,
European,Bosnia and Herzegovina,269,36,6,2,
European,Kazakhstan,265,61,1,0,
European,North Macedonia,241,22,4,1,
European,Republic of Moldova,231,32,2,0,
European,San Marino,228,0,22,1,
European,Albania,212,15,10,1,
European,Cyprus,179,17,5,0,
European,Azerbaijan,164,17,4,1,
European,Malta,139,0,0,0,
European,Uzbekistan,133,29,2,1,
European,Belarus,94,0,0,0,
European,Georgia,90,5,0,0,
European,Kyrgyzstan,84,26,0,0,
European,Montenegro,82,12,1,0,
European,Liechtenstein,61,1,0,0,
European,Monaco,19,0,0,0,
European,Holy See,4,0,0,0,
European Territories,Faroe Islands,155,11,0,0,
European Territories,Kosovo,91,3,1,0,
European Territories,Jersey,61,9,1,0,
European Territories,Gibraltar,56,1,0,0,
European Territories,Guernsey,39,3,0,0,
European Territories,Isle of Man,32,3,0,0,
European Territories,Greenland,10,1,0,0,
South-East Asia ,Thailand,1388,252,7,2,
South-East Asia ,Indonesia,1155,109,102,15,
South-East Asia ,India,979,255,25,8,
South-East Asia ,Sri Lanka,106,0,0,0,
South-East Asia ,Bangladesh,48,0,5,0,
South-East Asia ,Maldives,16,3,0,0,
South-East Asia ,Myanmar,8,3,0,0,
South-East Asia ,Nepal,5,2,0,0,
South-East Asia ,Bhutan,3,0,0,0,
South-East Asia ,Timor-Leste,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),35408,3076,2517,139,
Eastern Mediterranean ,Pakistan,1526,291,13,4,
Eastern Mediterranean ,Saudi Arabia,1203,99,4,1,
Eastern Mediterranean ,Qatar,590,28,1,1,
Eastern Mediterranean ,Egypt,576,40,36,6,
Eastern Mediterranean ,Iraq,506,48,42,2,
Eastern Mediterranean ,Bahrain,476,3,4,0,
Eastern Mediterranean ,United Arab Emirates,468,63,2,0,
Eastern Mediterranean ,Morocco,437,79,26,3,
Eastern Mediterranean ,Lebanon,412,21,8,0,
Eastern Mediterranean ,Tunisia,278,51,8,2,
Eastern Mediterranean ,Jordan,246,11,1,0,
Eastern Mediterranean ,Kuwait,235,0,0,0,
Eastern Mediterranean ,Oman,167,15,0,0,
Eastern Mediterranean ,Afghanistan,114,8,4,2,
Eastern Mediterranean ,Djibouti,15,2,0,0,
Eastern Mediterranean ,Sudan,5,2,1,0,
Eastern Mediterranean ,Syrian Arab Republic,5,0,0,0,
Eastern Mediterranean ,Libya,3,2,0,0,
Eastern Mediterranean ,Somalia,3,0,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,104,7,1,0,
Region of the Americas,United States of America,103321,18093,1668,425,
Region of the Americas,Canada,4757,739,55,16,
Region of the Americas,Brazil,3417,502,92,15,
Region of the Americas,Chile,1909,299,6,1,
Region of the Americas,Ecuador,1823,228,48,12,
Region of the Americas,Panama,786,112,14,5,
Region of the Americas,Mexico,717,128,12,4,
Region of the Americas,Argentina,690,101,17,5,
Region of the Americas,Peru,635,55,11,2,
Region of the Americas,Dominican Republic,581,0,20,0,
Region of the Americas,Colombia,539,48,6,0,
Region of the Americas,Uruguay,274,36,0,0,
Region of the Americas,Costa Rica,263,32,2,0,
Region of the Americas,Cuba,119,39,3,1,
Region of the Americas,Venezuela (Bolivarian Republic of),113,7,2,2,
Region of the Americas,Bolivia (Plurinational State of),74,13,0,0,
Region of the Americas,Trinidad and Tobago,74,8,2,0,
Region of the Americas,Honduras,67,0,1,0,
Region of the Americas,Paraguay,56,4,3,0,
Region of the Americas,Guatemala,32,7,1,0,
Region of the Americas,Jamaica,30,4,1,0,
Region of the Americas,Barbados,24,0,0,0,
Region of the Americas,El Salvador,19,6,0,0,
Region of the Americas,Dominica,11,0,0,0,
Region of the Americas,Bahamas,10,1,0,0,
Region of the Americas,Haiti,8,0,0,0,
Region of the Americas,Suriname,8,0,0,0,
Region of the Americas,Antigua and Barbuda,7,0,0,0,
Region of the Americas,Grenada,7,0,0,0,
Region of the Americas,Guyana,5,0,1,0,
Region of the Americas,Nicaragua,4,2,1,0,
Region of the Americas,Saint Lucia,3,0,0,0,
Region of the Americas,Belize,2,0,0,0,
Region of the Americas,Saint Kitts and Nevis,2,0,0,0,
Region of the Americas,Saint Vincent and the Grenadines,1,0,0,0,
Region of the Americas Territories,Guadeloupe,96,0,2,0,
Region of the Americas Territories,Martinique,93,0,1,0,
Region of the Americas Territories,Puerto Rico,64,0,2,0,
Region of the Americas Territories,Aruba,46,18,0,0,
Region of the Americas Territories,French Guiana,31,0,0,0,
Region of the Americas Territories,Bermuda,17,2,0,0,
Region of the Americas Territories,United States Virgin Islands,17,0,0,0,
Region of the Americas Territories,Saint Martin,12,0,0,0,
Region of the Americas Territories,Cayman Islands,8,0,1,0,
Region of the Americas Territories,Curacao,7,0,1,0,
Region of the Americas Territories,Montserrat,5,0,0,0,
Region of the Americas Territories,Saint Barthelemy,5,0,0,0,
Region of the Americas Territories,Sint Maarten,3,0,0,0,
Region of the Americas Territories,Anguilla,2,0,0,0,
Region of the Americas Territories,British Virgin Islands,2,0,0,0,
Region of the Americas Territories,Turks and Caicos Islands,2,0,0,0,
African ,South Africa,1187,17,1,0,
African ,Algeria,409,42,26,1,
African ,Burkina Faso,146,0,3,0,
African ,Cote d?Ivoire,140,48,0,0,
African ,Ghana,137,0,4,0,
African ,Senegal,119,0,0,0,
African ,Mauritius,102,6,2,0,
African ,Cameroon,91,16,2,1,
African ,Democratic Republic of the Congo,68,10,6,2,
African ,Nigeria,65,0,1,0,
African ,Rwanda,60,6,0,0,
African ,Togo,29,4,0,0,
African ,Madagascar,26,0,0,0,
African ,Kenya,25,0,1,0,
African ,Congo,19,0,0,0,
African ,Mali,18,9,0,0,
