Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,80955,31,3162,22,
Western Pacific,Republic of Korea,7755,242,60,6,
Western Pacific,Japan,568,54,12,3,
Western Pacific,Singapore,166,6,0,0,
Western Pacific,Malaysia,129,12,0,0,
Western Pacific,Australia,112,20,3,0,
Western Pacific,Philippines,49,16,1,0,
Western Pacific,Viet Nam,35,4,0,0,
Western Pacific,New Zealand,5,0,0,0,
Western Pacific,Cambodia,3,1,0,0,
Western Pacific,Brunei Darussalam,1,0,0,0,
Western Pacific,Mongolia,1,0,0,0,
European,Italy,10149,977,631,168,
European,France,1774,372,33,3,
European,Spain,1639,615,36,8,
European,Germany,1296,157,2,0,
European,Switzerland,491,159,3,1,
European,Netherlands,382,61,4,1,
European,The United Kingdom,373,50,6,3,
European,Sweden,326,78,0,0,
European,Norway,277,85,0,0,
European,Belgium,267,28,0,0,
European,Denmark,262,172,0,0,
European,Austria,182,51,0,0,
European,Greece,89,16,0,0,
European,Israel,75,36,0,0,
European,San Marino,63,14,2,0,
European,Czechia,61,23,0,0,
European,Iceland,61,0,0,0,
European,Portugal,41,11,0,0,
European,Finland,40,0,0,0,
European,Ireland,34,10,0,0,
European,Slovenia,31,8,0,0,
European,Romania,25,10,0,0,
European,Georgia,23,8,0,0,
European,Poland,22,6,0,0,
European,Croatia,16,4,0,0,
European,Estonia,13,3,0,0,
European,Hungary,13,4,0,0,
European,Serbia,12,11,0,0,
European,Albania,10,8,0,0,
European,Bulgaria,6,2,0,0,
European,Azerbaijan,9,0,0,0,
European,Belarus,9,3,0,0,
European,Latvia,8,2,0,0,
European,North Macedonia,7,0,0,0,
European,Russian Federation,7,0,0,0,
European,Slovakia,7,0,0,0,
European,Luxembourg,5,0,0,0,
European,Bosnia and Herzegovina,4,2,0,0,
European,Malta,4,0,0,0,
European,Republic of Moldova,3,2,0,0,
European,Cyprus,2,0,0,0,
European,Andorra,1,0,0,0,
European,Armenia,1,0,0,0,
European,Holy See,1,0,0,0,
European,Liechtenstein,1,0,0,0,
European,Lithuania,1,0,0,0,
European,Monaco,1,0,0,0,
European,Ukraine,1,0,0,0,
European Territories,Faroe Islands,2,0,0,0,
European Territories,Gibraltar,1,0,0,0,
European Territories,Guernsey,1,0,0,0,
South-East Asia ,India,60,16,0,0,
South-East Asia ,Thailand,59,6,1,0,
South-East Asia ,Indonesia,27,8,1,1,
South-East Asia ,Maldives,8,4,0,0,
South-East Asia ,Bangladesh,3,0,0,0,
South-East Asia ,Bhutan,1,0,0,0,
South-East Asia ,Nepal,1,0,0,0,
South-East Asia ,Sri Lanka,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),8042,881,291,54,
Eastern Mediterranean ,Bahrain,110,1,0,0,
Eastern Mediterranean ,United Arab Emirates,74,15,0,0,
Eastern Mediterranean ,Kuwait,69,4,0,0,
Eastern Mediterranean ,Iraq,61,0,6,0,
Eastern Mediterranean ,Egypt,59,0,1,0,
Eastern Mediterranean ,Lebanon,41,9,1,1,
Eastern Mediterranean ,Qatar,24,6,0,0,
Eastern Mediterranean ,Saudi Arabia,20,5,0,0,
Eastern Mediterranean ,Oman,18,0,0,0,
Eastern Mediterranean ,Pakistan,16,0,0,0,
Eastern Mediterranean ,Tunisia,6,4,0,0,
Eastern Mediterranean ,Afghanistan,4,0,0,0,
Eastern Mediterranean ,Morocco,3,1,1,1,
Eastern Mediterranean ,Jordan,1,0,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,30,4,0,0,
Region of the Americas,United States of America,696,224,25,6,
Region of the Americas,Canada,93,16,1,1,
Region of the Americas,Brazil,34,9,0,0,
Region of the Americas,Argentina,17,5,1,0,
Region of the Americas,Chile,17,4,0,0,
Region of the Americas,Ecuador,15,0,0,0,
Region of the Americas,Costa Rica,13,4,0,0,
Region of the Americas,Peru,11,2,0,0,
Region of the Americas,Panama,8,7,1,1,
Region of the Americas,Paraguay,5,4,0,0,
Region of the Americas,Mexico,7,0,0,0,
Region of the Americas,Dominican Republic,5,0,0,0,
Region of the Americas,Colombia,3,0,0,0,
Region of the Americas,Bolivia (Plurinational State of),2,2,0,0,TRUE
Region of the Americas,Jamaica,1,1,0,0,TRUE
Region of the Americas Territories,French Guiana,5,0,0,0,
Region of the Americas Territories,Martinique,3,1,0,0,
Region of the Americas Territories,Saint Martin,2,0,0,0,
Region of the Americas Territories,Saint Barthelemy,1,0,0,0,
African ,Algeria,20,0,0,0,
African ,South Africa,7,0,0,0,
African ,Senegal,4,0,0,0,
African ,Burkina Faso,2,2,0,0,TRUE
African ,Cameroon,2,0,0,0,
African ,Nigeria,2,0,0,0,
African ,Democratic Republic of the Congo,1,1,0,0,TRUE
African ,Togo,1,0,0,0,
