Region,Country Territory area,total Confirmed Cases,Confirmed new cases,total deaths,total new deaths,New
Western Pacific,China,82631,86,3321,7,
Western Pacific,Republic of Korea,9887,101,165,3,
Western Pacific,Australia,4707,348,20,2,
Western Pacific,Malaysia,2766,140,43,6,
Western Pacific,Japan,2178,225,57,1,
Western Pacific,Philippines,2084,538,88,10,
Western Pacific,Singapore,926,47,3,0,
Western Pacific,New Zealand,647,47,1,0,
Western Pacific,Viet Nam,207,4,0,0,
Western Pacific,Brunei Darussalam,129,2,1,0,
Western Pacific,Cambodia,109,2,0,0,
Western Pacific,Mongolia,12,0,0,0,
Western Pacific,Lao People's Democratic Republic,9,1,0,0,
Western Pacific,Fiji,5,0,0,0,
Western Pacific,Papua New Guinea,1,0,0,0,
Western Pacific Territories,Guam,69,11,2,1,
Western Pacific Territories,French Polynesia,37,1,0,0,
Western Pacific Territories,New Caledonia,16,1,0,0,
Western Pacific Territories,Northern Mariana Islands (Commonwealth of the),2,0,0,0,
European,Italy,105792,4053,12430,839,
European,Spain,94417,9222,8189,849,
European,Germany,67366,5453,732,149,
European,France,51477,7500,3514,497,
European,The United Kingdom,25154,3009,1789,381,
European,Switzerland,16108,696,373,78,
European,Turkey,13531,2704,214,46,
European,Belgium,12775,876,705,192,
European,Netherlands,12595,845,1039,175,
European,Austria,10182,564,128,20,
European,Portugal,7443,1035,160,20,
European,Israel,5129,298,21,4,
European,Norway,4447,221,28,2,
European,Sweden,4435,407,180,34,
European,Czechia,3308,306,31,7,
European,Ireland,3235,325,71,17,
European,Denmark,2860,283,90,13,
European,Russian Federation,2337,500,17,8,
European,Poland,2311,256,33,2,
European,Romania,2245,293,69,25,
European,Luxembourg,2178,190,23,1,
European,Finland,1384,71,17,4,
European,Greece,1314,102,49,6,
European,Iceland,1135,49,2,0,
European,Serbia,900,115,13,0,
European,Croatia,867,77,6,0,
European,Slovenia,814,51,13,2,
European,Estonia,745,30,4,1,
European,Ukraine,669,120,17,4,
European,Lithuania,533,49,7,0,
European,Armenia,532,50,3,0,
European,Hungary,492,45,16,1,
European,Bosnia and Herzegovina,413,54,12,3,
European,Bulgaria,399,40,8,0,
European,Latvia,398,22,0,0,
European,Andorra,376,6,12,4,
European,Slovakia,363,27,0,0,
European,Republic of Moldova,353,55,3,1,
European,Kazakhstan,348,36,2,1,
European,North Macedonia,329,44,9,2,
European,Azerbaijan,298,25,5,1,
European,Cyprus,262,32,8,1,
European,Albania,243,20,13,2,
European,San Marino,236,6,26,1,
European,Uzbekistan,173,24,2,0,
European,Malta,167,11,0,0,
European,Belarus,152,0,0,0,
European,Georgia,115,12,0,0,
European,Kyrgyzstan,111,4,0,0,
European,Montenegro,105,14,2,1,
European,Liechtenstein,68,4,0,0,
European,Monaco,52,3,0,0,
European,Holy See,6,0,0,0,
European Territories,Faroe Islands,169,1,0,0,
European Territories,Kosovo[1],112,6,1,0,
European Territories,Gibraltar,69,0,0,0,
European Territories,Jersey,63,0,2,0,
European Territories,Guernsey,60,15,1,1,
European Territories,Isle of Man,52,10,0,0,
European Territories,Greenland,10,0,0,0,
South-East Asia ,Thailand,1771,247,12,3,
South-East Asia ,India,1636,565,38,9,
South-East Asia ,Indonesia,1528,114,136,14,
South-East Asia ,Sri Lanka,143,23,2,1,
South-East Asia ,Bangladesh,54,5,6,1,
South-East Asia ,Maldives,18,1,0,0,
South-East Asia ,Myanmar,15,5,1,1,
South-East Asia ,Nepal,5,0,0,0,
South-East Asia ,Bhutan,4,0,0,0,
South-East Asia ,Timor-Leste,1,0,0,0,
Eastern Mediterranean ,Iran (Islamic Republic of),44606,3111,2898,141,
Eastern Mediterranean ,Pakistan,2039,174,26,1,
Eastern Mediterranean ,Saudi Arabia,1563,110,10,2,
Eastern Mediterranean ,Qatar,781,88,2,1,
Eastern Mediterranean ,Egypt,710,54,46,5,
Eastern Mediterranean ,Iraq,694,64,50,4,
Eastern Mediterranean ,United Arab Emirates,664,53,6,1,
Eastern Mediterranean ,Morocco,638,64,36,3,
Eastern Mediterranean ,Bahrain,567,52,4,0,
Eastern Mediterranean ,Lebanon,463,17,12,1,
Eastern Mediterranean ,Tunisia,394,32,10,1,
Eastern Mediterranean ,Kuwait,289,23,0,0,
Eastern Mediterranean ,Jordan,274,6,5,0,
Eastern Mediterranean ,Oman,210,31,1,1,
Eastern Mediterranean ,Afghanistan,192,26,4,0,
Eastern Mediterranean ,Djibouti,31,5,0,0,
Eastern Mediterranean ,Libya,10,2,0,0,
Eastern Mediterranean ,Syrian Arab Republic,10,0,2,0,
Eastern Mediterranean ,Sudan,7,1,2,0,
Eastern Mediterranean ,Somalia,5,2,0,0,
Eastern Mediterranean Territories,occupied Palestinian territory,134,17,1,0,
Region of the Americas,United States of America,163199,22559,2850,452,
Region of the Americas,Canada,7695,1378,89,23,
Region of the Americas,Brazil,4579,323,159,23,
Region of the Americas,Chile,2738,289,12,4,
Region of the Americas,Ecuador,2240,278,75,15,
Region of the Americas,Dominican Republic,1109,208,51,9,
Region of the Americas,Mexico,1094,101,28,8,
Region of the Americas,Peru,1065,213,24,13,
Region of the Americas,Panama,989,0,24,0,
Region of the Americas,Argentina,966,146,24,4,
Region of the Americas,Colombia,798,96,14,4,
Region of the Americas,Uruguay,320,11,1,1,
Region of the Americas,Costa Rica,314,0,2,0,
Region of the Americas,Cuba,186,16,6,2,
Region of the Americas,Honduras,139,0,2,0,
Region of the Americas,Venezuela (Bolivarian Republic of),129,0,3,0,
Region of the Americas,Bolivia (Plurinational State of),107,10,6,1,
Region of the Americas,Trinidad and Tobago,85,3,3,0,
Region of the Americas,Paraguay,65,1,3,0,
Region of the Americas,Guatemala,36,0,1,0,
Region of the Americas,Jamaica,36,0,1,0,
Region of the Americas,Barbados,33,0,0,0,
Region of the Americas,El Salvador,30,0,0,0,
Region of the Americas,Haiti,15,0,0,0,
Region of the Americas,Bahamas,14,0,0,0,
Region of the Americas,Guyana,12,4,2,1,
Region of the Americas,Dominica,11,0,0,0,
Region of the Americas,Grenada,9,0,0,0,
Region of the Americas,Saint Lucia,9,0,0,0,
Region of the Americas,Saint Kitts and Nevis,8,6,0,0,
Region of the Americas,Suriname,8,0,0,0,
Region of the Americas,Antigua and Barbuda,7,0,0,0,
Region of the Americas,Nicaragua,4,0,1,0,
Region of the Americas,Belize,3,0,0,0,
Region of the Americas,Saint Vincent and the Grenadines,1,0,0,0,
Region of the Americas Territories,Puerto Rico,239,65,8,2,
Region of the Americas Territories,Martinique,119,8,2,0,
Region of the Americas Territories,Guadeloupe,114,8,5,1,
Region of the Americas Territories,Aruba,55,5,0,0,
Region of the Americas Territories,French Guiana,46,3,0,0,
Region of the Americas Territories,United States Virgin Islands,30,0,0,0,
Region of the Americas Territories,Bermuda,27,5,0,0,
Region of the Americas Territories,Saint Martin,18,0,2,1,
Region of the Americas Territories,Cayman Islands,12,0,1,0,
Region of the Americas Territories,Curacao,11,0,1,0,
Region of the Americas Territories,Saint Barthelemy,6,0,0,0,
